Breed,Weight,LitterSize,BirthWeight,Lifespan,T50
Small Munsterlander Pointer,22.6796185,#N/A,#N/A,#N/A,#N/A
Smooth Fox Terrier,7.71107029,4.3,0.213,#N/A,16.12
Soft Coated Wheaten Terrier,15.87573295,5.8,0.265,12.5,#N/A
Spanish Mastiff,77.1107029,13,#N/A,#N/A,#N/A
Spanish Water Dog,18.1436948,6.3,#N/A,#N/A,#N/A
Spinone Italiano,,#N/A,0.65,#N/A,#N/A
Stabyhoun,22.6796185,8,#N/A,#N/A,#N/A
Staffordshire Bull Terrier,14.06136347,5.6,0.284,12.75,#N/A
Standard Schnauzer,18.1436948,7,#N/A,11.96,#N/A
Sussex Spaniel,18.1436948,#N/A,#N/A,11.13,#N/A
Swedish Lapphund,17.00971388,4.4,#N/A,#N/A,#N/A
Swedish Vallhund,12.47379018,5,#N/A,14.42,#N/A
Taiwan Dog,14.96854821,#N/A,#N/A,#N/A,#N/A
Terry Roosevelt Terrier,7.484274105,#N/A,#N/A,#N/A,#N/A
Thai Ridgeback,24.94758035,#N/A,#N/A,#N/A,#N/A
Tibetan Mastiff,48.76117978,#N/A,0.51,11.92,#N/A
Tibetan Spaniel,5.44310844,3.8,#N/A,14.42,#N/A
Tibetan Terrier,,5.2,0.213,12.17,#N/A
Tornjak,39.00894382,#N/A,#N/A,#N/A,#N/A
Tosa,68.0388555,#N/A,#N/A,#N/A,#N/A
Toy Fox Terrier,2.381359943,#N/A,#N/A,#N/A,#N/A
Transylvanian Hound,,#N/A,#N/A,#N/A,#N/A
Treeing Tennessee Brindle,18.1436948,#N/A,#N/A,#N/A,#N/A
Treeing Walker Coonhound,27.2155422,#N/A,#N/A,#N/A,#N/A
Vizsla,24.2671918,5,0.482,12.92,#N/A
Weimaraner,32.88544683,8.8,#N/A,11.13,22.74
Welsh Springer Spaniel,20.41165665,6,#N/A,12.58,#N/A
Welsh Terrier,,7,#N/A,12.67,#N/A
West Highland White Terrier,7.937866475,3.7,#N/A,13,#N/A
Wetterhoun,28.34952313,#N/A,#N/A,#N/A,#N/A
Whippet,14.74175203,6.1,#N/A,12.79,#N/A
Wire Fox Terrier,7.71107029,3.5,#N/A,13.13,#N/A
Wirehaired Pointing Griffon,23.24660896,#N/A,#N/A,#N/A,#N/A
Wirehaired Vizsla,24.94758035,#N/A,#N/A,9.83,#N/A
Working Kelpie,19.95806428,5.9,#N/A,#N/A,#N/A
Xoloitzcuintli (Miniature),10.20582833,4.5,#N/A,#N/A,#N/A
Xoloitzcuintli (Standard),19.27767573,4.3,#N/A,#N/A,#N/A
Xoloitzcuintli (Toy),5.669904625,#N/A,#N/A,#N/A,#N/A
Yakutian Laika,21.54563758,#N/A,#N/A,#N/A,#N/A
Yorkshire Terrier,3.17514659,3.5,#N/A,12.67,15.21
