,Vmax WR,Ftotmax WR,Mz WR,Pmax WR,PT WR,CT WR,Ror WR,,,,Vmax WOR,Ftotmax WOR,Mz WOR,Pmax WOR,PT WOR,CT WOR,Ror WOR
P07,2.595510411,236.1020261,31.92518244,233.8484423,0.183333333,0.504166667,3223.334188,,,P08,3.552431373,198.7029191,44.51238931,523.8439664,0.1375,0.375,2691.295931
P07,2.740216248,143.6038459,25.57055987,218.4635504,0.175,0.508333333,1677.576834,,,P08,3.272684379,180.9009346,48.96360345,577.5393774,0.1375,0.375,3842.678072
P07,2.753288538,147.3066829,25.62943156,202.4614974,0.166666667,0.520833333,1293.309801,,,P08,3.520338168,210.2300321,41.06472977,497.0337389,0.141666667,0.4,2931.683867
P07,2.826273039,165.4479924,23.8229594,207.6639355,0.1625,0.516666667,1283.862472,,,P08,3.703144588,187.50418,36.50969888,491.7779514,0.116666667,0.3875,2588.213308
P07,2.627750495,163.3017939,27.58302164,220.3154141,0.15,0.479166667,1605.832435,,,P09,3.601268859,192.7300824,25.90585032,275.7753802,0.220833333,0.445833333,2999.481869
P08,3.456254574,171.133482,40.21011828,464.034747,0.191666667,0.445833333,1950.618038,,,P09,3.792506171,175.580024,35.60745401,400.3963549,0.220833333,0.441666667,2310.276087
P08,3.392861314,154.205983,32.58836415,323.565751,0.175,0.45,1527.805046,,,P09,3.774116838,184.733023,29.74461162,365.1314342,0.191666667,0.429166667,3181.858004
P08,3.208292338,181.260764,35.70358446,349.890306,0.1875,0.475,2355.306586,,,P09,3.889006106,196.1702219,28.57527081,359.1864598,0.175,0.408333333,3401.705365
P08,3.342143769,177.931311,32.60968281,396.821241,0.170833333,0.458333333,2057.807796,,,P09,3.992012809,225.2100582,28.90325977,362.8097015,0.183333333,0.425,3494.072593
P08,3.363265063,138.446629,33.06557862,402.389952,0.170833333,0.45,1427.268842,,,P09,3.932232789,207.8071551,28.66895316,358.5756574,0.166666667,0.425,4117.743428
P08,3.562389814,175.589928,32.71578471,379.647204,0.1625,0.4625,2302.442479,,,P10,3.446589892,265.0546184,51.94581247,499.0259407,0.275,0.55,3438.234402
P08,3.553621098,185.857359,28.819665,295.420615,0.15,0.441666667,2347.328626,,,P10,3.42198755,205.663417,48.12193968,490.2714917,0.254166667,0.516666667,3157.200563
P08,3.463363549,139.687005,26.81320474,327.514816,0.15,0.441666667,1633.309152,,,P10,3.732946471,181.7591912,52.58902973,569.0302407,0.241666667,0.495833333,2488.600926
P09,3.305893869,262.5092915,36.37610183,294.2506347,0.220833333,0.470833333,5134.476617,,,P10,3.971963736,124.8832703,46.86657537,571.7315194,0.225,0.495833333,1852.27588
P09,3.577686947,175.3996916,36.13464608,310.4068056,0.191666667,0.4625,3587.579479,,,P10,4.177756823,141.8839695,45.1172995,565.2146636,0.241666667,0.479166667,1884.30971
P09,3.585699615,255.8056962,28.21309968,249.4758432,0.204166667,0.4625,4701.51106,,,P10,4.338266911,194.8811728,44.42231355,525.8784691,0.245833333,0.491666667,2798.169792
P09,3.46725586,198.882907,27.55781921,255.5512171,0.204166667,0.454166667,3481.026362,,,P10,4.159720001,222.315071,37.81290205,510.0476654,0.191666667,0.483333333,3209.76196
P09,3.491711323,242.751639,22.59897799,227.7134229,0.191666667,0.445833333,4419.891884,,,P10,4.143445735,207.6255016,42.58526946,542.9184285,0.2,0.491666667,3244.657833
P09,3.900536159,171.8495337,20.48329651,206.4843864,0.1875,0.445833333,2916.809806,,,P11,3.605969008,167.7928238,47.3028349,556.7588807,0.175,0.4125,848.5592081
P09,3.857015717,245.8349119,17.43035523,182.302683,0.191666667,0.475,4817.825268,,,P11,4.323197058,104.0986916,40.29041939,484.55079,0.166666667,0.429166667,1046.526456
P09,3.740554837,154.6942581,24.98003645,256.2185555,0.158333333,0.441666667,2638.540231,,,P11,3.801568646,203.2808678,48.63798321,607.9609835,0.183333333,0.404166667,1663.777618
P10,2.889607547,401.1982112,49.01913513,302.9447578,0.258333333,0.595833333,4110.125223,,,P11,3.752745848,131.1805433,50.91581104,597.9861467,0.170833333,0.429166667,1836.224772
P10,2.979853039,297.9447068,45.19016075,346.0983136,0.229166667,0.591666667,4012.596202,,,P11,4.120135933,129.7400619,49.37339201,697.2424597,0.1875,0.416666667,1128.430013
P10,2.853930478,242.523964,43.59537727,361.0562853,0.245833333,0.566666667,1101.407935,,,P11,4.206060532,134.4852204,44.42578094,639.5701113,0.195833333,0.425,1525.426586
P10,3.245937594,233.1353282,40.95197511,350.0269172,0.233333333,0.570833333,2332.665885,,,P11,4.053643513,138.6859638,43.80053355,620.2805412,0.175,0.429166667,1138.850342
P10,3.279675851,234.2290065,32.82197095,298.4540867,0.2375,0.6875,2147.822968,,,P12,3.047929129,208.1907848,47.72393934,470.0660377,0.204166667,0.454166667,3689.091722
